Crop,District,Area (Acres),Production (M.Ton),Year,Temperature at 2 Meters Range (C),Precipitation Corrected (mm),Root Zone Soil Wetness (surface to 100 cm below),Surface Soil Wetness (surface to 5 cm below),relative_humidity_2m(%),soil_temperature_0_to_7cm(C),soil_moiture_7_to_28cm(m³/m³),soil_moisture_0_to_7cm(m³/m³),total_rain_mm
Onion,Bhola,1555,2616,2014,31.14,5.84,0.69,0.65,78.75327,27.06849,0.21439,0.209304,1394.6
Onion,Bhola,1606,2855,2015,25.56,9.18,0.71,0.67,80.79841,26.47563,0.247312,0.245107,2189
Onion,Bhola,1789,3209,2016,26.92,13.2,0.77,0.74,82.32265,26.85736,0.255874,0.245704,2235.7
Onion,Bhola,1421,2560,2017,24.39,18.03,0.85,0.83,80.16779,26.6386,0.312069,0.30797,2464.1
Onion,Bhola,1372,2648,2018,25.83,12.11,0.8,0.78,79.20738,26.29411,0.292437,0.289401,1830.9
Onion,Bhola,1487,2806,2019,25.53,14.24,0.79,0.76,78.74931,26.70232,0.283564,0.27924,1373.3
Onion,Bhola,1535,3412,2020,25.18,11.71,0.85,0.82,79.78842,26.3116,0.294613,0.287981,1892.8
Onion,Bhola,1581.06,3588,2021,28.33,8.97,0.76,0.72,77.78787,26.99182,0.278258,0.276368,1720.1
Onion,Bhola,1608,3852,2022,26.69,7.67,0.78,0.75,76.65443,26.8774,0.265778,0.266814,1528.1
Onion,Bhola,1566,3816,2023,28.06,8.89,0.76,0.74,77.63254,27.21897,0.267426,0.261321,1445.7
Onion,Bhola,1574,3862,2024,26.01,11.29,0.8,0.77,78.96881,26.91448,0.274068,0.262785,2225.4
Onion,Jhallokati,80,100,2014,35.17,4.42,0.71,0.64,77.8536,27.01379,0.266191,0.265348,1404.7
Onion,Jhallokati,72,82,2015,30.86,7.06,0.72,0.67,80.3521,26.45686,0.297879,0.304292,2280.6
Onion,Jhallokati,70,96,2016,32.54,10.6,0.79,0.73,81.3963,26.95386,0.299034,0.296578,2075.5
Onion,Jhallokati,83,127,2017,29.69,13.81,0.84,0.81,81.83854,26.42645,0.315536,0.315002,2557.7
Onion,Jhallokati,68,83,2018,31.04,8.68,0.79,0.76,81.56576,25.92127,0.311166,0.307566,2017.8
Onion,Jhallokati,67,110,2019,31.2,11.4,0.8,0.76,81.5092,26.17879,0.306618,0.299907,1583.5
Onion,Jhallokati,84,128,2020,30.67,9.37,0.85,0.82,82.83202,25.72413,0.317197,0.313778,2132.1
Onion,Jhallokati,90,136,2021,34.17,7.28,0.77,0.71,81.28326,26.24118,0.309032,0.302745,2326
Onion,Jhallokati,100,154,2022,32.91,6.36,0.78,0.74,79.21585,26.43032,0.287163,0.288792,1901.2
Onion,Jhallokati,106,164,2023,31.71,7.46,0.78,0.73,80.19665,26.60975,0.294072,0.295071,1830.7
Onion,Jhallokati,97,157,2024,25.52,9.02,0.8,0.76,81.48087,26.22273,0.32222,0.321235,2631.7
Onion,Patuakhali,95,71,2014,35.17,4.42,0.71,0.64,78.19968,27.11506,0.274983,0.243854,1425.7
Onion,Patuakhali,111,89,2015,30.86,7.06,0.72,0.67,80.58688,26.53011,0.298113,0.280748,2106.7
Onion,Patuakhali,105,89,2016,32.54,10.6,0.79,0.73,81.80574,27.02288,0.305869,0.276813,1981.5
Onion,Patuakhali,106,82,2017,29.69,13.81,0.84,0.81,81.71815,26.61305,0.329472,0.304972,2761.2
Onion,Patuakhali,102,118,2018,31.04,8.68,0.79,0.76,80.9782,26.24011,0.319648,0.295181,2032
Onion,Patuakhali,105,63,2019,31.2,11.4,0.8,0.76,80.5137,26.53662,0.314117,0.287209,1615.6
Onion,Patuakhali,99,136,2020,30.67,9.37,0.85,0.82,82.14005,26.0527,0.329936,0.302475,2294.4
Onion,Patuakhali,102,178.25,2021,34.17,7.28,0.77,0.71,80.79282,26.65525,0.315762,0.288879,2214
Onion,Patuakhali,120,90,2022,32.91,6.36,0.78,0.74,79.17094,26.59963,0.304774,0.280432,1977.7
Onion,Patuakhali,122,86,2023,31.71,7.46,0.78,0.73,80.08048,26.77584,0.313793,0.286742,1731.3
Onion,Patuakhali,133,155,2024,25.89,9.02,0.8,0.76,80.35032,26.58818,0.31693,0.290791,2607.2
Onion,Pirojpur,35,38,2014,35.17,4.42,0.71,0.64,77.56786,27.1174,0.2674,0.265457,1435.1
Onion,Pirojpur,39,43,2015,30.86,7.06,0.72,0.67,80.14432,26.58146,0.295539,0.301617,2258.5
Onion,Pirojpur,44,53,2016,32.54,10.6,0.79,0.73,81.08021,27.12564,0.296835,0.294983,2078.4
Onion,Pirojpur,53,65,2017,29.69,13.81,0.84,0.81,81.50209,26.67749,0.31272,0.312848,2542.5
Onion,Pirojpur,53,67,2018,31.04,8.68,0.79,0.76,81.33744,26.03883,0.317141,0.312214,1857.7
Onion,Pirojpur,50,57,2019,31.2,11.4,0.8,0.76,81.35525,26.29982,0.313304,0.304752,1476.9
Onion,Pirojpur,54,83,2020,30.67,9.37,0.85,0.82,82.61028,25.89522,0.321019,0.316563,2251.2
Onion,Pirojpur,60,70,2021,34.17,7.28,0.77,0.71,81.3788,26.2991,0.316045,0.309294,2390.6
Onion,Pirojpur,79,96,2022,32.91,6.36,0.78,0.74,79.13464,26.51476,0.291787,0.29263,1922.9
Onion,Pirojpur,80,97,2023,31.71,7.46,0.78,0.73,80.55397,26.58344,0.306115,0.303468,1872.5
Onion,Pirojpur,87,113,2024,25.72,9.02,0.8,0.76,80.51004,26.48727,0.311679,0.311491,2610.8
Onion,Bandarban,128,175,2014,29.48,7.27,0.67,0.66,78.30647,24.25301,0.292669,0.288987,1516.1
Onion,Bandarban,118,173,2015,25.97,10.43,0.68,0.68,80.06834,23.99853,0.305287,0.307801,2568.2
Onion,Bandarban,118,175,2016,30.24,10.95,0.73,0.72,81.73366,24.24252,0.314473,0.31442,2288.5
Onion,Bandarban,117,174,2017,24.66,16.65,0.79,0.79,79.04627,24.15224,0.317294,0.311193,2437.2
Onion,Bandarban,119,179,2018,30.01,12.99,0.75,0.75,77.45531,23.56438,0.304684,0.30361,2383.8
Onion,Bandarban,119,181,2019,29.5,15.39,0.73,0.73,75.92758,24.21347,0.287431,0.279632,1827.5
Onion,Bandarban,121,184,2020,28.94,11.39,0.77,0.77,76.6218,23.90011,0.303409,0.294267,2043.6
Onion,Bandarban,127,192.93,2021,30.08,9.55,0.71,0.71,76.21778,24.21268,0.306284,0.292478,2743.6
Onion,Bandarban,133.1,203.9,2022,29.28,7,0.7,0.71,75.99511,24.20901,0.297327,0.292952,1514
Onion,Bandarban,137,208.45,2023,29.68,8.02,0.69,0.7,75.10578,24.40345,0.315443,0.305601,2417.7
Onion,Bandarban,123.8,197.41,2024,24.58,12.38,0.72,0.72,76.9333,24.31012,0.329995,0.316143,2131.3
Onion,Brahmanbaria,1305,2708,2014,32.2,5.11,0.62,0.62,77.0602,26.5018,0.279154,0.276998,1390.5
Onion,Brahmanbaria,1494,3122,2015,27.68,6.57,0.69,0.69,79.0919,26.111,0.303316,0.303633,2484.4
Onion,Brahmanbaria,1415,2918,2016,27.88,7.63,0.74,0.73,79.92362,26.4526,0.318716,0.314619,2277.3
Onion,Brahmanbaria,1318,2698,2017,25.43,13.13,0.83,0.83,80.83692,26.11905,0.336393,0.331281,3150.6
Onion,Brahmanbaria,354,1012,2018,28.47,7.49,0.76,0.76,79.05452,25.86475,0.305156,0.306928,1898.4
Onion,Brahmanbaria,1250,2468,2019,29.64,8.33,0.73,0.73,79.02871,26.06594,0.309745,0.304781,1673.1
Onion,Brahmanbaria,1093,3029,2020,29.29,7.39,0.75,0.75,80.04127,25.73491,0.310551,0.304128,1995.3
Onion,Brahmanbaria,1097.52,2967.5,2021,31.29,6.14,0.7,0.7,77.93095,26.25094,0.297885,0.294738,1773.8
Onion,Brahmanbaria,1067.79,3075.17,2022,30.15,6.49,0.71,0.72,78.24826,26.16909,0.30718,0.30847,2007
Onion,Brahmanbaria,950.85,2694.57,2023,31.31,6.59,0.69,0.69,77.36163,26.48324,0.30738,0.30136,1989.4
Onion,Brahmanbaria,1052.61,3005.57,2024,25.41,8.75,0.75,0.74,78.32047,26.37073,0.307044,0.303981,2167.3
Onion,Chandpur,2338,5005,2014,33.73,4.61,0.62,0.6,74.7404,26.53743,0.275142,0.262199,1409
Onion,Chandpur,2099,5216,2015,28.42,6.14,0.66,0.64,77.88509,26.35128,0.296262,0.291192,2210.5
Onion,Chandpur,1724,4318,2016,30.42,7.91,0.72,0.71,77.37621,26.89067,0.296377,0.290446,1490.1
Onion,Chandpur,1692,3609,2017,26.93,13.38,0.83,0.82,80.0768,26.36991,0.312902,0.301016,2406.1
Onion,Chandpur,1672,4336,2018,28.39,7.63,0.76,0.75,77.72992,25.91705,0.300788,0.280814,1555.9
Onion,Chandpur,1661,4308,2019,30.98,8.18,0.73,0.71,79.33491,25.97735,0.31089,0.294269,1518
Onion,Chandpur,1692,4328,2020,28.58,7.96,0.79,0.79,79.57623,25.8863,0.300051,0.286747,1999.1
Onion,Chandpur,1796.15,4605.71,2021,31.7,6.32,0.72,0.71,78.3517,26.10671,0.302535,0.284086,1835.2
Onion,Chandpur,1933.85,5047.1,2022,30.76,5.84,0.71,0.72,79.42098,25.95165,0.297849,0.286772,1660.8
Onion,Chandpur,1934.1,5135.04,2023,29.6,6.94,0.72,0.71,76.33583,26.65489,0.276591,0.261726,1738.2
Onion,Chandpur,1933.52,5144.76,2024,29.56,8.34,0.75,0.75,76.4986,26.57571,0.290366,0.285753,1770.3
Onion,Chattogram,145,199,2014,28.76,7.72,0.69,0.68,79.71137,26.84862,0.27994,0.270566,1783.1
Onion,Chattogram,154,216,2015,24.55,9.42,0.7,0.69,81.1776,26.4393,0.299875,0.297441,3234.2
Onion,Chattogram,162,235,2016,24.64,13.19,0.76,0.75,82.70374,26.65056,0.311763,0.306922,2766.2
Onion,Chattogram,167,241,2017,24.06,20.09,0.85,0.84,83.30714,26.18319,0.316454,0.312984,2941.9
Onion,Chattogram,172,248,2018,26.01,13.84,0.8,0.8,82.18758,25.87144,0.289284,0.290815,2461.5
Onion,Chattogram,166,241,2019,25.43,14.25,0.77,0.76,81.32631,26.24627,0.281668,0.280716,2049.5
Onion,Chattogram,171,245,2020,24.94,11.52,0.83,0.82,82.18119,25.99998,0.297931,0.294971,2103.7
Onion,Chattogram,173.82,248.58,2021,27.94,9.35,0.75,0.74,79.81858,26.6823,0.274273,0.27571,2385
Onion,Chattogram,182.36,271.85,2022,27.1,7.53,0.75,0.75,80.00236,26.23665,0.288267,0.285411,1686.4
Onion,Chattogram,177.7,355.04,2023,27.66,8.73,0.74,0.73,79.89684,26.6113,0.29276,0.287985,1973.3
Onion,Chattogram,145.85,352.65,2024,25.58,11.74,0.76,0.76,79.07124,26.67863,0.277504,0.263671,2404.5
Onion,Comilla,727,1951,2014,33.22,5.28,0.65,0.66,76.99035,26.83693,0.27247,0.271141,1346
Onion,Comilla,677,1888,2015,27.94,6.72,0.69,0.7,78.98991,26.3533,0.303103,0.301579,2239.4
Onion,Comilla,616,1767,2016,29.47,8.25,0.73,0.74,80.60566,26.62772,0.313621,0.309194,2097.2
Onion,Comilla,504,1465,2017,26.16,14.43,0.84,0.85,80.89439,26.0797,0.329784,0.326112,3033.7
Onion,Comilla,298,874,2018,29.62,7.83,0.77,0.79,79.39526,25.73019,0.307598,0.307329,1757.1
Onion,Comilla,323,880,2019,29.77,9.09,0.74,0.74,78.95788,26.15881,0.296477,0.292136,1583.2
Onion,Comilla,341,954,2020,29.01,7.95,0.78,0.8,79.95403,25.74632,0.313419,0.30948,2047
Onion,Comilla,698,982.7,2021,32.21,6.59,0.72,0.73,77.73573,26.32991,0.296004,0.292179,1952
Onion,Comilla,698.8,1321.1,2022,30.27,6.1,0.73,0.75,76.66259,26.58233,0.263134,0.271766,1577.5
Onion,Comilla,706.79,1337.4,2023,31.47,6.67,0.7,0.71,76.14108,26.79526,0.278164,0.280819,1591.3
Onion,Comilla,351.2,1112.4,2024,25.34,9.48,0.76,0.77,78.99686,26.28485,0.296012,0.29984,2255.4
Onion,Cox's Bazar,167,237,2014,16.56,12.18,0.71,0.71,79.61066,26.76397,0.273842,0.239984,1973.6
Onion,Cox's Bazar,161,221,2015,13.17,17.46,0.73,0.73,80.06567,26.50522,0.277186,0.256892,2982.8
Onion,Cox's Bazar,171,289,2016,13.97,21.83,0.78,0.78,81.89871,26.77161,0.296368,0.267697,2580.3
Onion,Cox's Bazar,87,141,2017,14.29,26.71,0.84,0.84,84.21019,26.38216,0.306352,0.275286,3411.1
Onion,Cox's Bazar,76,132,2018,15.2,22.29,0.8,0.8,83.27377,25.8845,0.294025,0.267308,2485.6
Onion,Cox's Bazar,78,141,2019,14.07,26,0.8,0.81,82.88187,26.27429,0.291974,0.249813,2459.8
Onion,Cox's Bazar,64,99,2020,15.75,20.43,0.82,0.82,83.8287,26.06871,0.294457,0.267779,2790.9
Onion,Cox's Bazar,61.14,84.8,2021,16.29,15.52,0.75,0.75,82.6091,26.43788,0.291167,0.257862,2941.3
Onion,Cox's Bazar,59.55,83.57,2022,14.74,12.54,0.76,0.77,82.06303,25.98739,0.29889,0.261757,1633.4
Onion,Cox's Bazar,60.26,85.57,2023,14.64,14.78,0.77,0.77,81.58126,26.21503,0.301472,0.279088,2295.4
Onion,Cox's Bazar,56.61,70.58,2024,25.54,18.85,0.78,0.79,79.74715,26.03338,0.283949,0.277491,3140.3
Onion,Feni,29,27,2014,33.38,6.42,0.69,0.68,77.39947,26.91449,0.326299,0.322903,1507.1
Onion,Feni,31,25,2015,27.6,7.95,0.71,0.69,79.33884,26.39356,0.348848,0.345348,2520.9
Onion,Feni,32,25,2016,28.2,10.89,0.76,0.75,81.54038,26.60548,0.359535,0.355981,2413.8
Onion,Feni,29,22,2017,26.4,18.19,0.87,0.86,82.01371,26.08472,0.425435,0.41968,3161.5
Onion,Feni,33,26,2018,28.25,10.93,0.82,0.81,80.68234,25.81173,0.400761,0.400477,2059.4
Onion,Feni,30,29,2019,28.28,11.91,0.76,0.76,79.87547,26.15463,0.398378,0.390592,1720.9
Onion,Feni,25,41,2020,26.63,10.13,0.84,0.83,79.88032,25.98254,0.402878,0.395739,2088.2
Onion,Feni,25.52,43,2021,31.27,7.99,0.76,0.74,77.37097,26.70761,0.384826,0.381263,2037.1
Onion,Feni,25.12,41.19,2022,28.18,7,0.77,0.76,76.57862,26.73096,0.371321,0.37413,1737.5
Onion,Feni,27.5,93.5,2023,30.56,7.97,0.75,0.74,76.70201,26.87203,0.381022,0.37586,1727.4
Onion,Feni,28.4,99.44,2024,25.36,10.99,0.79,0.78,79.06619,26.35946,0.387513,0.3857,2277.6
Onion,Khagrachari,50,88,2014,32.29,6.51,0.7,0.71,79.13297,25.62647,0.290946,0.287924,1589.5
Onion,Khagrachari,54,94,2015,28.6,7.97,0.71,0.72,81.29,25.28746,0.312315,0.311605,2758.8
Onion,Khagrachari,55,82,2016,29.46,10.68,0.76,0.77,83.16566,25.57636,0.329539,0.329458,2294.2
Onion,Khagrachari,44,71,2017,29.53,18.24,0.85,0.86,83.58102,25.04354,0.35355,0.348648,2954.1
Onion,Khagrachari,49,79,2018,32.12,11,0.8,0.82,82.19283,24.58409,0.328891,0.328578,2322.2
Onion,Khagrachari,53,84,2019,30.43,12.02,0.75,0.77,80.25134,25.12328,0.308776,0.307612,2018.6
Onion,Khagrachari,52,85,2020,30.02,10.13,0.82,0.83,81.05655,24.76285,0.322205,0.317578,2035.4
Onion,Khagrachari,54.9,82.17,2021,32.28,7.99,0.74,0.75,79.69796,25.22061,0.319793,0.316992,2157.4
Onion,Khagrachari,62.9,91.77,2022,30.8,7.01,0.76,0.77,78.39501,25.30925,0.303918,0.302883,1674
Onion,Khagrachari,57.9,83.71,2023,32.51,7.96,0.74,0.75,78.1305,25.44188,0.321535,0.316838,1825.1
Onion,Khagrachari,54.3,66.11,2024,25.28,11.03,0.78,0.79,78.77097,25.49229,0.300867,0.299998,2247.4
Onion,Lakshmipur,350,804,2014,32.85,5.12,0.67,0.64,78.16954,26.80946,0.257871,0.246181,1365.9
Onion,Lakshmipur,516,908,2015,27.03,6.98,0.69,0.66,80.22253,26.28651,0.290739,0.281771,2162.7
Onion,Lakshmipur,463,795,2016,29.77,10.08,0.76,0.73,82.32218,26.53865,0.304621,0.290815,2154.9
Onion,Lakshmipur,434,788,2017,25.88,15.37,0.85,0.83,81.82531,26.11148,0.321924,0.317001,2971.2
Onion,Lakshmipur,470,788,2018,27.35,8.96,0.79,0.77,80.58334,25.70549,0.300696,0.301933,1947.1
Onion,Lakshmipur,435,800,2019,28.26,9.99,0.76,0.74,80.31153,26.10278,0.294194,0.290412,1712.9
Onion,Lakshmipur,429,720,2020,26.8,9.28,0.85,0.82,80.78117,25.78658,0.298616,0.299247,2236.2
Onion,Lakshmipur,436,802,2021,30.65,6.97,0.75,0.72,78.69273,26.425,0.285422,0.282885,2220.3
Onion,Lakshmipur,436,802,2022,29.16,6.38,0.77,0.74,77.68788,26.38997,0.274434,0.279326,1698.3
Onion,Lakshmipur,360.57,622,2023,29.02,7.53,0.75,0.73,77.95853,26.60249,0.281745,0.284269,1657.7
Onion,Lakshmipur,360.57,622,2024,25.41,9.39,0.78,0.76,79.5868,26.17023,0.296491,0.305149,2409.2
Onion,Noakhali,413,635,2014,33.38,6.42,0.69,0.68,77.89309,27.31515,0.245639,0.217453,1543.9
Onion,Noakhali,403,610,2015,27.6,7.95,0.71,0.69,79.94849,26.6777,0.272098,0.247946,2149.5
Onion,Noakhali,389,579,2016,28.2,10.89,0.76,0.75,82.21404,26.88732,0.285144,0.260022,2387.5
Onion,Noakhali,398,593,2017,26.4,18.19,0.87,0.86,81.35957,26.14914,0.319425,0.294697,3378.1
Onion,Noakhali,368,534,2018,28.25,10.93,0.82,0.81,79.95386,25.89903,0.293773,0.272205,2276.8
Onion,Noakhali,309,432,2019,28.28,11.91,0.76,0.76,79.10151,26.37833,0.280392,0.256954,1831.8
Onion,Noakhali,286,388,2020,26.63,10.13,0.84,0.83,80.1632,25.96538,0.296998,0.273862,2399.7
Onion,Noakhali,483.45,1654.37,2021,31.27,7.99,0.76,0.74,77.5318,26.80188,0.272261,0.252141,2297.6
Onion,Noakhali,556.1,1977.9,2022,28.18,7,0.77,0.76,76.62837,26.60912,0.267234,0.246151,1943.2
Onion,Noakhali,551.3,1977.9,2023,30.56,7.97,0.75,0.74,76.59639,26.95884,0.271733,0.24367,1787.2
Onion,Noakhali,563.5,2023.79,2024,30,10.99,0.79,0.78,77.7535,26.72673,0.272514,0.249126,2498.3
Onion,Rangamati,96,168,2014,29.06,6.09,0.65,0.65,78.42105,25.79644,0.320757,0.310013,1257.7
Onion,Rangamati,96,170,2015,25.16,8.88,0.68,0.68,80.44115,25.49937,0.332148,0.32549,2479.4
Onion,Rangamati,98,171,2016,29.35,9.2,0.72,0.73,81.90435,25.80859,0.343311,0.338104,1886.6
Onion,Rangamati,100,175,2017,24.13,16.33,0.79,0.8,80.62814,25.48715,0.367634,0.362827,2708.4
Onion,Rangamati,109,171,2018,28.81,12.01,0.75,0.76,79.60342,24.99171,0.354836,0.351494,2353.5
Onion,Rangamati,109,193,2019,28.34,13.54,0.72,0.73,78.84639,25.30644,0.359277,0.355694,1834.9
Onion,Rangamati,104,194,2020,27.98,9.85,0.77,0.77,79.2475,25.05571,0.35491,0.350647,1930.2
Onion,Rangamati,114.9,226.93,2021,29.72,8.08,0.7,0.71,77.9938,25.57534,0.32525,0.324045,2277.2
Onion,Rangamati,114.65,239.44,2022,28.71,6.8,0.7,0.71,77.72524,25.35755,0.358507,0.355025,1684.5
Onion,Rangamati,122.41,259.69,2023,29.13,7.49,0.68,0.69,78.57892,25.58147,0.355763,0.350847,1893.6
Onion,Rangamati,130.28,282.22,2024,27.43,10.65,0.72,0.72,80.41451,25.50198,0.348155,0.33509,2223.4
Onion,Dhaka,1273,4519,2014,33.73,4.61,0.62,0.6,77.13461,26.95468,0.271954,0.268574,1284.2
Onion,Dhaka,1287,6355,2015,28.42,6.14,0.66,0.64,79.19579,26.57154,0.300778,0.300216,2258.9
Onion,Dhaka,1306,6446,2016,30.42,7.91,0.72,0.71,79.84581,27.0082,0.308022,0.306217,1863.4
Onion,Dhaka,1266,6405,2017,26.93,13.38,0.83,0.82,80.80763,26.34869,0.343849,0.336463,2716.5
Onion,Dhaka,1243,4168,2018,28.39,7.63,0.76,0.75,78.87431,26.06536,0.313415,0.310815,1607.4
Onion,Dhaka,1243,4168,2019,30.98,8.18,0.73,0.71,79.42227,26.2823,0.311154,0.309579,1582.4
Onion,Dhaka,1220,4367,2020,28.58,7.96,0.79,0.79,79.49921,26.07041,0.315091,0.312356,1949.3
Onion,Dhaka,1147.99,4112.9,2021,31.7,6.32,0.72,0.71,77.25425,26.64925,0.303184,0.297663,1786.7
Onion,Dhaka,1134.55,4036.43,2022,30.76,5.84,0.71,0.72,78.73846,26.34185,0.307307,0.306202,1649.1
Onion,Dhaka,1146.57,4058.87,2023,29.6,6.94,0.72,0.71,76.87009,26.87267,0.291756,0.292725,1774.9
Onion,Dhaka,1145,4000,2024,29.76,8.34,0.75,0.75,76.83747,26.82269,0.292582,0.280218,1866.1
Onion,Faridpur,53411,214580,2014,35.24,3.94,0.62,0.59,76.06918,26.77626,0.265086,0.25887,1312.1
Onion,Faridpur,78908,376651,2015,31.22,5.31,0.66,0.63,78.5588,26.44988,0.293949,0.292277,2133.1
Onion,Faridpur,72721,290447,2016,32.86,7.05,0.71,0.69,78.89458,26.90809,0.299364,0.297292,1785.7
Onion,Faridpur,81970,385669,2017,30.56,11.16,0.81,0.78,79.9007,26.44336,0.32029,0.315845,2474.3
Onion,Faridpur,67859,265501,2018,30.45,6.56,0.75,0.73,77.9637,26.14595,0.299635,0.294786,1531.1
Onion,Faridpur,65932,264025,2019,34.01,7.43,0.73,0.71,79.16616,26.18419,0.307993,0.302182,1615.9
Onion,Faridpur,65991,265150,2020,30.56,7.6,0.81,0.79,79.49822,26.02436,0.307045,0.299356,1966.6
Onion,Faridpur,82105,445503,2021,33.65,6.05,0.73,0.71,77.58245,26.53538,0.298007,0.289935,2202.6
Onion,Faridpur,100291,544492,2022,33.42,5.4,0.72,0.71,78.57882,26.22941,0.300852,0.294744,1664.9
Onion,Faridpur,100319,544979.5,2023,31.38,6.45,0.72,0.7,77.69761,26.60519,0.29098,0.285711,1851.5
Onion,Faridpur,100392,562466,2024,32.67,7.25,0.75,0.73,77.54992,26.62506,0.284935,0.282135,1748.5
Onion,Gazipur,404,673,2014,33.77,5.36,0.63,0.62,76.63105,26.28902,0.376612,0.365009,1440.5
Onion,Gazipur,400,734,2015,28.4,6.36,0.68,0.67,79.12474,25.94206,0.396052,0.391553,2234.4
Onion,Gazipur,463,754,2016,31.05,8.29,0.74,0.73,79.0548,26.44852,0.399077,0.391449,1876.2
Onion,Gazipur,409,782,2017,27.92,14.35,0.83,0.81,81.14629,25.71322,0.433993,0.427529,3195.7
Onion,Gazipur,423,829,2018,28.46,8.78,0.77,0.77,79.07323,25.39571,0.41337,0.408421,1679.8
Onion,Gazipur,424,840,2019,31.24,10.15,0.75,0.74,79.45654,25.65844,0.415152,0.408401,1603.9
Onion,Gazipur,434,861,2020,30.08,9.86,0.79,0.78,80.0339,25.36518,0.406958,0.40417,2167.3
Onion,Gazipur,495.23,971.56,2021,32.83,7.48,0.73,0.73,77.61991,25.82882,0.402581,0.393606,1693.4
Onion,Gazipur,502.59,988.92,2022,31.33,7.95,0.74,0.73,78.71365,25.74714,0.40922,0.405077,2141.7
Onion,Gazipur,502.48,1019.39,2023,31.09,8.14,0.72,0.72,76.22692,26.32917,0.39362,0.386912,1784.2
Onion,Gazipur,508.1,1033.85,2024,31,9.39,0.78,0.76,77.89529,25.96589,0.410303,0.40959,1921.3
Onion,Gopalganj,4142,12461,2014,35.94,4.06,0.66,0.61,76.49646,27.08828,0.266008,0.262836,1304.5
Onion,Gopalganj,4472,14238,2015,31.81,5.86,0.68,0.64,78.71974,26.72543,0.28872,0.291796,2047.9
Onion,Gopalganj,5057,14723,2016,33.43,8.61,0.75,0.71,79.31275,27.22494,0.297175,0.297585,1874.4
Onion,Gopalganj,5068,14808,2017,30.57,12.07,0.82,0.79,79.98982,26.49266,0.325683,0.321521,2581.1
Onion,Gopalganj,4974,14478,2018,31.51,6.94,0.76,0.74,78.12585,26.14963,0.308096,0.302888,1700.6
Onion,Gopalganj,4974,14478,2019,33.75,8.54,0.76,0.72,79.11637,26.27718,0.313305,0.306898,1549.5
Onion,Gopalganj,4895,12006,2020,32.27,8.22,0.84,0.81,80.2757,25.87745,0.315726,0.310378,2172.5
Onion,Gopalganj,495.23,1965.57,2021,34.99,6.29,0.75,0.71,77.97558,26.50646,0.298546,0.291647,2011.2
Onion,Gopalganj,502.59,988.92,2022,34.23,5.61,0.75,0.73,77.40763,26.58472,0.28282,0.283554,1785.7
